Station Name (LEA),State,Records
BANNING POLICE DEPT,CA,13
BARSTOW POLICE DEPT,CA,9
BEAR VALLEY POLICE DEPARTMENT,CA,2
BELL GARDENS POLICE DEPT,CA,124
BELL POLICE DEPT,CA,35
BENICIA POLICE DEPT,CA,1
BEVERLY HILLS POLICE DEPT,CA,20
BISHOP POLICE DEPT,CA,6
BLYTHE POLICE DEPARTMENT,CA,22
BREA POLICE DEPT,CA,1
BRENTWOOD POLICE DEPT,CA,6
BROADMOOR POLICE DEPT,CA,6
BURBANK POLICE DEPT,CA,36
BURLINGAME POLICE DEPT,CA,6
BUTTE COLLEGE POLICE DEPT  HI_ED,CA,4
BUTTE COUNTY SHERIFF DEPT,CA,197
CA CORRECTIONAL SAFETY,CA,86
CA DEPT OF CORRECTIONS  REHAB,CA,2
CA DEPT OF FISH AND GAME HQ,CA,69
CA DOJ SACRAMENTO,CA,2
CA REC AND CONSERV AUTH,CA,5
CA STATE PRISON SACRAMENTO,CA,1
CALAVERAS COUNTY DA,CA,4
CALAVERAS COUNTY SHERIFF DEPT,CA,45
CALIFORNIA CITY POLICE DEPT,CA,48
CAMPBELL POLICE DEPT,CA,2
CARRIZO GORGE RAILROAD POLICE DEPT,CA,12
CATHEDRAL CITY POLICE DEPT,CA,10
CENTRAL MARIN POLICE AUTHORITY,CA,7
CERES POLICE DEPT,CA,24
CERRITOS COMM COLLEGE POLICE  HI_ED,CA,5
CHICO POLICE DEPT,CA,21
CHINO POLICE DEPT,CA,13
CHIP SACRAMENTO,CA,70
CITRUS HEIGHTS POLICE DEPT,CA,9
CLAREMONT POLICE DEPT,CA,74
CLOVERDALE POLICE DEPT,CA,2
CLOVIS POLICE DEPT,CA,6
COLTON POLICE DEPT,CA,12
COLUSA COUNTY SHERIFF DEPT,CA,6
CONCORD POLICE DEPARTMENT,CA,35
CONTRA COSTA COUNTY SHERIFF DEPT,CA,57
CORNING POLICE DEPT,CA,10
CORONA POLICE DEPT,CA,20
CORONADO POLICE DEPT,CA,8
COTATI POLICE DEPT,CA,13
COVINA POLICE DEPT,CA,114
CRESCENT CITY POLICE DEPT,CA,3
CYPRESS POLICE DEPT,CA,12
DALY CITY POLICE DEPT,CA,40
DAVIS POLICE DEPT,CA,15
