Item Name,Quantity
"BEACON SET,RADIO",15
"BEACON,DISTRESS",12
"BEACON,SONAR",1
"BEAD BREAKER,TIRE",2
"BEAM,CABIN ROOF",2
"BEAM,HOISTING",1
"BEAM,STRUCTURAL",3065
BEARING,45
BEARING AND LINER A,8
"BEARING UNIT,BALL",3
"BEARING,BALL,ANNULAR",6
"BEARING,BALL,DUPLEX",31
"BEARING,BALL,STACK",16
"BEARING,PLAIN,ROD END",18
"BEARING,PLAIN,SPHERICAL",4
"BEARING,ROLLER,CYLINDRICAL",26
"BEARING,ROLLER,NEEDLE",5
"BEARING,WASHER,THRUST",25
"BED,ADJUSTABLE",149
"BED,BUNKABLE",23
"BED,NONADJUSTABLE",35
"BEDDING,EMERGENCY PACK",6
"BEDNET,POP-UP",1434
BEDSHEETS,81
BEDSPREAD,13
"BEESWAX,TECHNICAL",11
BELL CRANK,63
"BELLMOUTH ASSY,SEAL",1
"BELT CATCH,SLUNG WEAPON",81
BELT RIGGERS FR,11
"BELT,AIRCRAFT SAFETY",29
"BELT,HIGH VISIBILITY",480
"BELT,INDIVIDUAL EQUIPMENT",1373
"BELT,MILITARY POLICE",196
"BELT,MOLDED WAIST",25
"BELT,POSITIVE DRIVE",2
"BELT,RIGGER'S/",1115
"BELT,RIGGERS",20
"BELT,SAFETY,INDUSTRIAL",77
"BELT,TOOL,REPAIRMAN'S",3
"BELT,TROUSERS",100
"BELT,V",27
"BELT,VEHICULAR SAFETY",5
"BELTS,V,MATCHED SET",4
BENCH,14
BENCH PRESS,24
BENCH PRESS OLYMPIC,1
"BENCH,EXERCISE",1
"BENCH,WEIGHT",1
"BENCH,WEIGHTLIFTER PRESS SUPPORT",1
"BENDER SET,TUBE,HAND",2
"BENDER,TUBE,HAND",2
BENDING AND FORMING MACHINES,1
"BENDING MACHINE,PIPE AND CONDUIT",5
"BEZEL,INSTRUMENT MOUNTING",1
"BICON,FREIGHT,GENERAL PURPOSE",1
BICONICAL ANTENNA,1
BICYCLE,78
"BICYCLE, EXERCISE",127
"BICYCLE, MOUNTAIN",7
"BICYCLE, RECUMBENT",26
"BICYCLE, THREE WHEEL",1
BIN,92
BIN SYSTEM,5
"BIN,ICE MACHINE",2
"BIN,STORAGE AND DISPLAY,STATIONARY",40
"BINDER,LOAD",127
"BINDER,LOOSE-LEAF",159
"BINDER,NOTE PAD",13
"BINDING ASSEMBLY,SNOWSHOE",50
BINO NV SYSTEM,1
BINOCULAR,4169
"BINOCULAR,ELECTRON",1
"BINOCULAR,ELECTRONI",2
"BINOCULAR,NIGHT VISION",17
BINOCULARS,124
BIPOD ADAPTER ASSEMBLY,11
"BIPOD,FOLDING",388
"BIPOD,MACHINE GUN",134
"BIPOD,RIFLE",1265
"BIT SET,AUGER",1
"BIT SET,SCREWDRIVER",15
"BIT,MASONRY",17
"BIT,ROUTER",36
"BIT,SCREWDRIVER",168
BITE VALVE,1025
"BITE VALVE,HYDRATION SYSTEM",1919
"BIVOUAC SYSTEM,MODULAR,MILITARY UNIT",6
BIVY COMPRESSION STUFF SACK,211
BIVY COVER,2857
BLADDER,99
"BLADDER ASSEMBLY,LIFE PRESERVER",5
"BLADDER,HYDRATION S",2241
"BLADDER,HYDRATION SYSTEM",1260
"BLADE ASSEMBLY,SNOW PLOW",1
"BLADE ASSY,TAIL ROT",4
BLADE CLAMP ASSY,2
"BLADE KIT,HOLE SAW",4
"BLADE SET,COMPRESSOR,AIRCRAFT GAS TURBINE ENGINE",193
"BLADE SET,JIG SAW",5
"BLADE SET,WINDSHIELD WIPER,VEHICULAR",2
"BLADE,CIRCULAR SAW",4
"BLADE,CIRCULAR SAW,METAL CUTTING",26
"BLADE,CIRCULAR SAW,WOODCUTTING",190
"BLADE,CIRCULAR,SAW",5
"BLADE,CLIPPER KIT,ANIMAL",16
"BLADE,COMPRESSOR,AIRCRAFT GAS TURBINE ENGINE",252
"BLADE,CONCRETE",1
"BLADE,HAND HACKSAW",286
"BLADE,JIG SAW,WOODWORKING",82
"BLADE,ROTARY WING",6
"BLADE,SAW,ROUND",27
"BLADE,SAWTOOTH",2
"BLADE,SURGICAL KNIFE,DETACHABLE",51
"BLADE,TURBINE ROTOR,AIRCRAFT GAS TURBINE ENGINE",683
"BLADE,TURBINE ROTOR,NONAIRCRAFT GAS TURBINE ENGINE",125
"BLADE,WINDSHIELD WIPER",123
BLANKET,216
BLANKET BED,10
"BLANKET SET,BED",20
"BLANKET,BED",7084
"BLANKET,BURN",3150
"BLANKET,FIRE",15
"BLANKET,HEATING",14
"BLANKET,HYPOTHERMIA",17
"BLANKET,HYPOTHERMIA,BATTERY POWERED",87
"BLANKET,SOUND CONTROLLING,AIRCRAFT",39
"BLANKET,SURGICAL",34
"BLANKET,SURVIVAL",2304
"BLANKET,THERMAL",192
"BLANKET,WARMING,HYPOTHERMIA",26
"BLANKET,WRAP AROUND",1
BLASTING MACHINE,19
"BLEACHER,PORTABLE",5
BLOCK AND TACKLE,11
BLOCK AND TACKLE SET,2
"BLOCK,CHOCK",15
"BLOCK,LOCKING,BARREL",8
"BLOCK,TACKLE",57
"BLOCK,TERMINAL,DISC",2
"Blocks, Tackle, Rigging, and Slings",1
"BLOUSE,COMBAT",370
"BLOW GUN,AIR",10
BLOWER AND VACUUM,2
"BLOWER UNIT,ROTARY",5
"BLOWER, LANDSCAPE",31
"BLOWER,ELECTRIC,PORTABLE",1
"BLOWER,LIGHT WEIGHT",499
"BLOWTORCH,ALCOHOL",1
BLUE SKY MAST ASSY,3
BOARD,7
"BOARD,MARKER",154
"BOARD,SPINAL,FOLDING",12
"BOAT,INFLATABLE MAT",3
"BOAT,KAYAK",4
"BOAT,LANDING,INFLATABLE",9
"BOAT,PERSONNEL",3
"BOAT,PONTOON",1
"BOAT,RECONNAISSANCE,PNEUMATIC",3
"BOAT,RIGID INFLATABLE",7
"BOAT,RIGID RAIDING",1
"BOAT,SEMI-VEE",1
"BOAT,UTILITY",7
"BOBBIN,SEWING MACHINE",10
"BODY ARMOR OUTFIT,EXPLOSIVE ORDNANCE DISPOSAL",1
"BODY ARMOR,CHEST",21
"BODY ARMOR,FRAGMENTATION PROTECTIVE",28
"BODY ARMOR,SMALL ARMS PROTECTIVE",10
"BODY ASSEMBLY,BARREL BUFFER",5
BODY SHIELD,78
"BODY,BUTTSTOCK ASSEMBLY",20
"BODY,CAMERA,STILL PICTURE",51
"BODY,CARGO TRAILER",1
"BODY,CARGO TRUCK",4
"BODY,EXPLOSIVE ORDNANCE DISPOSAL",4
"BODY,INFLATION DEVICE",1
"BODY,UTILITY VEHICLE",1
"BODY,VAN TRUCK",1
"BOILER,HOT WATER,HI",1
"BOLOMETER,RADIO FREQUENCY",1
BOLT ASSEMBLY,85
BOLT CONVERSION,66
"BOLT,ASSEMBLED WASHER",16
"BOLT,AUTOMATIC WEAPON",38
"BOLT,BREECH",976
"BOLT,CLEVIS",12
"BOLT,CLOSE TOLERANCE",1
"BOLT,EYE",129
"BOLT,FRONT SIGHT,LE",20
"BOLT,INTERNALLY RELIEVED BODY",47
"BOLT,MACHINE",271
"BOLT,SHEAR",5
"BOLT,SQUARE NECK",10
"BOLT,TURBINE TIE",14
"BOLT,U",70
"BOLTS, LOT",1
"BOOK,CHRISTIAN,SACRED",15
"BOOK,MEMORANDUM",200
BOOKCASE,36
"BOOKS AND PAMPHLETS, LOT",1
"BOOM,AIRCRAFT",12
"BOOM,CRANE",1
"BOOM,ROTARY,RUDDER",1
"BOOM,SPILL CONTAINMENT,HAZARDOUS MATERIAL",33
BOOT,27
"BOOT ASSY,DUCT",5
"BOOT WALL,COMMAND POST SYSTEM,MODULAR",2
"BOOT, MEN'S,",234
"BOOT,AIRCRAFT COMPONENTS",21
"BOOTIES,EXTREME COLD WEATHER",28
"BOOTS, MEN'S, PAIR",577
"BOOTS,CLIMBERS",20
